00_00_0#1_29_29	(3591)
00_08_16#2_24_24	(1535)
00_08_16#2_18_18	(2828)
00_08_16#2_14_14	(2271)
00_08_16#2_7_7	(1146)
00_08_16#2_3_3	(1251)
00_08_16#2_2_2	(-1)
00_08_16#3_31_31	(3385)
00_08_16#3_13_13	(2689)
00_08_16#4_13_13	(283)
00_08_16#4_3_3	(2602)
00_08_16#5_13_13	(2614)
00_08_16#5_7_7	(-1)
00_08_16#5_4_4	(953)
00_08_16#7_21_21	(1820)
00_08_16#7_15_15	(3525)
00_08_16#7_10_10	(vote)
00_08_16#7_5_5	(4293)
00_08_16#9_17_17	(1553)
00_08_16#9_10_10	(2528)
00_08_16#10_3_3	(2286)
00_08_16#11_14_14	(1195)
00_08_16#12_13_13	(vote)
00_08_16#13_16_16	(win)
00_08_16#13_10_10	(2097)
00_08_17#1_10_10	(election)
00_08_17#1_3_3	(3687)
00_08_17#1_2_2	(3530)
00_08_17#2_14_14	(3691)
00_08_17#2_8_8	(election)
00_08_17#2_5_5	(3670)
00_08_17#2_3_3	(1604)
00_08_17#3_5_5	(236)
00_08_17#4_20_20	(1014)
00_08_17#4_8_8	(vote)
00_08_17#7_21_21	(3695)
00_08_17#7_20_20	(election)
00_08_17#7_15_15	(3693)
00_08_17#7_14_14	(3531)
00_08_17#8_12_12	(protest)
00_08_17#8_10_10	(324)
00_08_17#8_7_7	(-1)
00_08_17#10_17_17	(election)
00_08_17#10_14_14	(965)
00_08_17#11_22_22	(2091)
00_08_17#11_14_14	(573)
00_08_17#11_12_12	(4295)
00_08_17#11_8_8	(3926)
00_08_17#11_6_6	(397)
00_08_17#12_13_13	(3537)
00_08_17#12_2_2	(2450)
00_08_17#14_16_16	(3250)
00_08_17#15_4_4	(election)
00_08_17#15_1_1	(3154)
00_08_17#16_8_8	(-1)
00_08_17#19_18_18	(2833)
00_08_17#19_16_16	(1556)
00_08_17#19_12_12	(2217)
00_08_17#19_3_3	(1369)
00_08_17#20_16_16	(958)
00_08_17#20_12_12	(-1)
00_08_17#21_10_10	(2461)
00_08_17#21_3_3	(283)
00_08_18#2_7_7	(3673)
00_08_18#2_4_4	(election)
00_08_18#3_8_8	(105)
00_08_18#4_15_15	(1458)
00_08_18#4_13_13	(protest)
00_08_18#4_11_11	(1604)
00_08_18#4_8_8	(2307)
00_08_18#4_6_6	(election)
00_08_18#5_44_44	(1310)
00_08_18#5_40_40	(2002)
00_08_18#5_30_30	(300)
00_08_18#5_27_27	(1536)
00_08_18#5_19_19	(2451)
00_08_18#5_15_15	(2287)
00_08_18#5_8_8	(election)
00_08_18#6_29_29	(1592)
00_08_18#6_26_26	(3155)
00_08_18#6_22_22	(protest)
00_08_18#6_20_20	(301)
00_08_18#6_17_17	(891)
00_08_18#6_15_15	(236)
00_08_18#7_6_6	(731)
00_08_18#8_22_22	(1311)
00_08_18#8_11_11	(2452)
00_08_18#9_10_10	(277)
00_08_18#10_9_9	(576)
00_08_19#1_12_12	(election)
00_08_19#1_5_6	(3160)
00_08_19#2_13_13	(1195)
00_08_19#2_4_4	(610)
00_08_19#2_3_3	(vote)
00_08_19#3_5_5	(2440)
00_08_19#5_24_24	(election)
00_08_19#8_7_7	(4297)
00_08_19#9_16_16	(vote)
00_08_19#9_2_2	(-1)
00_08_19#10_8_8	(vote)
00_08_19#10_3_3	(election)
00_08_19#11_9_9	(3045)
00_08_19#13_4_4	(387)
00_08_19#13_1_1	(vote)
00_08_19#14_19_19	(vote)
00_08_19#14_4_4	(387)
00_08_19#17_15_15	(764)
00_08_19#17_11_11	(vote)
00_08_19#18_25_25	(2687)
00_08_19#18_22_22	(805)
00_08_19#18_19_19	(1620)
00_08_19#19_12_12	(2824)
00_08_19#19_3_3	(1844)
00_08_19#20_15_15	(vote)
00_08_19#20_1_1	(1865)
00_08_19#21_10_10	(1357)
00_08_19#21_1_1	(1200)
00_08_19#23_6_6	(234)
00_08_19#24_10_10	(105)
00_08_2#1_5_5	(election)
00_08_2#1_2_2	(win)
00_08_2#2_8_8	(vote)
00_08_2#2_3_3	(105)
00_08_2#3_14_14	(1563)
00_08_2#3_3_3	(284)
00_08_2#4_9_9	(2439)
00_08_2#4_7_7	(election)
00_08_2#6_26_26	(election)
00_08_2#6_12_12	(1844)
00_08_2#6_7_7	(1271)
00_08_2#6_5_5	(vote)
00_08_2#7_14_14	(vote)
00_08_2#8_13_13	(election)
00_08_2#8_8_8	(3908)
00_08_2#9_34_34	(3518)
00_08_2#9_22_22	(vote)
00_08_2#9_16_16	(election)
00_08_2#9_10_10	(1765)
00_08_2#9_9_9	(election)
00_08_2#10_20_20	(election)
00_08_2#10_13_13	(1252)
00_08_2#10_2_2	(2167)
00_08_2#11_16_16	(611)
00_08_2#11_4_4	(election)
00_08_2#12_12_12	(1253)
00_08_2#12_8_8	(3910)
00_08_2#12_5_5	(vote)
00_08_2#13_14_14	(324)
00_08_2#13_6_6	(3370)
00_08_2#15_7_7	(vote)
00_08_2#15_2_2	(3666)
00_08_2#16_24_24	(3669)
00_08_2#16_22_22	(vote)
00_08_2#16_10_10	(2514)
00_08_2#16_8_8	(4275)
00_08_2#17_29_29	(vote)
00_08_2#17_25_25	(1045)
00_08_2#17_9_9	(3373)
00_08_2#18_9_9	(3134)
00_08_2#18_2_2	(4277)
00_08_2#19_27_27	(3911)
00_08_2#19_12_12	(324)
00_08_2#19_2_2	(vote)
00_08_20#1_28_28	(election)
00_08_20#1_13_13	(250)
00_08_20#2_27_27	(vote)
00_08_20#2_22_22	(105)
00_08_20#2_4_4	(457)
00_08_20#3_2_2	(1017)
00_08_20#4_1_1	(2618)
00_08_20#5_6_6	(2934)
00_08_20#6_14_14	(election)
00_08_20#6_9_9	(957)
00_08_20#7_18_18	(3162)
00_08_20#7_16_16	(election)
00_08_20#7_9_9	(105)
00_08_20#8_14_14	(331)
00_08_20#8_13_13	(4299)
00_08_20#8_11_11	(1867)
00_08_20#8_1_1	(3927)
00_08_20#9_14_14	(vote)
00_08_20#10_7_7	(election)
00_08_20#10_4_4	(-1)
00_08_20#11_19_19	(730)
00_08_20#11_10_10	(election)
00_08_20#11_8_8	(3373)
00_08_20#12_32_32	(3373)
00_08_20#12_30_30	(1691)
00_08_20#12_24_24	(1425)
00_08_20#12_13_13	(election)
00_08_20#12_1_1	(-1)
00_08_20#13_25_25	(vote)
00_08_20#13_21_21	(vote)
00_08_20#13_17_17	(3371)
00_08_20#13_15_15	(113)
00_08_20#13_13_13	(289)
00_08_20#13_12_12	(vote)
00_08_20#13_10_10	(vote)
00_08_20#13_8_8	(1604)
00_08_20#14_4_4	(250)
00_08_20#14_1_1	(72)
00_08_20#15_23_23	(2453)
00_08_20#15_22_22	(1000)
00_08_20#15_16_16	(610)
00_08_20#15_15_15	(vote)
00_08_20#16_15_15	(324)
00_08_20#16_4_4	(324)
00_08_21#1_25_25	(-1)
00_08_21#1_15_15	(election)
00_08_21#1_8_8	(1142)
00_08_21#1_1_1	(3032)
00_08_21#2_40_40	(1789)
00_08_21#2_39_39	(2168)
00_08_21#2_27_27	(5)
00_08_21#2_20_20	(election)
00_08_21#2_4_4	(3698)
00_08_21#3_34_34	(295)
00_08_21#3_31_31	(3253)
00_08_21#3_9_9	(295)
00_08_21#4_27_27	(966)
00_08_21#4_18_18	(-1)
00_08_21#4_16_16	(4301)
00_08_21#4_10_10	(576)
00_08_21#4_6_6	(election)
00_08_21#5_16_16	(244)
00_08_21#5_12_12	(114)
00_08_21#5_4_4	(3698)
00_08_21#6_7_7	(election)
00_08_21#7_15_15	(election)
00_08_21#7_8_8	(2377)
00_08_21#7_5_5	(election)
00_08_21#9_44_44	(1737)
00_08_21#9_35_35	(election)
00_08_21#9_29_29	(-1)
00_08_21#9_20_20	(election)
00_08_21#9_17_17	(236)
00_08_21#9_7_7	(867)
00_08_21#9_5_5	(3538)
00_08_21#9_0_0	(1030)
00_08_21#10_7_7	(576)
00_08_21#11_16_16	(3391)
00_08_21#11_12_12	(3699)
00_08_21#11_3_3	(election)
00_08_21#13_14_14	(3163)
00_08_21#13_7_7	(war)
00_08_21#13_2_2	(563)
00_08_21#14_69_69	(2721)
00_08_21#14_68_68	(743)
00_08_21#14_47_47	(1030)
00_08_21#14_29_29	(1222)
00_08_21#14_26_26	(election)
00_08_21#14_20_20	(1001)
00_08_21#14_5_5	(2472)
00_08_21#16_10_10	(-1)
00_08_21#16_5_5	(election)
00_08_21#17_8_8	(election)
00_08_21#17_2_2	(2377)
00_08_21#18_30_30	(3701)
00_08_21#18_26_26	(2937)
00_08_21#18_24_24	(war)
00_08_21#18_20_20	(4303)
00_08_21#18_6_6	(election)
00_08_21#19_28_28	(election)
00_08_21#19_22_22	(protest)
00_08_21#19_16_16	(2372)
00_08_21#19_14_14	(999)
00_08_21#19_11_11	(election)
00_08_22#1_42_42	(-1)
00_08_22#1_23_23	(1454)
00_08_22#1_14_14	(83)
00_08_22#1_1_1	(1134)
00_08_22#2_5_5	(3703)
00_08_22#3_45_45	(1638)
00_08_22#3_34_34	(1685)
00_08_22#3_21_21	(2511)
00_08_22#3_4_4	(election)
00_08_22#4_36_36	(3930)
00_08_22#4_34_34	(3708)
00_08_22#4_10_10	(2116)
00_08_22#5_9_9	(2730)
00_08_22#6_37_37	(election)
00_08_22#6_30_30	(2384)
00_08_22#6_8_8	(3704)
00_08_22#7_17_17	(3030)
00_08_22#7_9_9	(vote)
00_08_22#7_7_7	(250)
00_08_22#7_6_6	(election)
00_08_22#8_10_10	(1868)
00_08_22#8_9_9	(3696)
00_08_22#9_37_37	(2288)
00_08_22#9_18_18	(106)
00_08_22#9_13_13	(106)
00_08_22#10_37_37	(election)
00_08_22#10_24_24	(1600)
00_08_22#10_21_21	(-1)
00_08_22#10_10_10	(vote)
00_08_22#10_3_3	(1045)
00_08_22#12_46_46	(3711)
00_08_22#12_34_34	(3256)
00_08_22#12_28_28	(-1)
00_08_22#12_26_26	(1045)
00_08_22#12_9_9	(3705)
00_08_22#13_6_6	(250)
00_08_22#14_19_19	(2385)
00_08_22#14_9_9	(4305)
00_08_22#15_16_16	(1142)
00_08_22#15_4_4	(3933)
00_08_22#16_7_7	(election)
00_08_22#18_8_8	(election)
00_08_22#19_8_8	(1641)
00_08_22#21_49_49	(3373)
00_08_22#21_25_25	(2311)
00_08_22#21_19_19	(war)
00_08_22#21_15_15	(2378)
00_08_22#22_46_46	(766)
00_08_22#22_29_29	(2289)
00_08_22#22_4_4	(vote)
00_08_22#23_7_7	(295)
00_08_22#23_4_4	(vote)
00_08_22#23_2_2	(2942)
00_08_22#24_5_5	(-1)
00_08_22#25_9_9	(election)
00_08_22#26_5_5	(vote)
00_08_22#27_5_5	(2535)
00_08_22#27_3_3	(3261)
00_08_22#28_2_2	(3713)
00_08_23#1_35_35	(vote)
00_08_23#1_27_27	(election)
00_08_23#1_24_24	(win)
00_08_23#1_17_17	(1844)
00_08_23#1_12_12	(1271)
00_08_23#2_4_4	(4307)
00_08_23#3_15_15	(vote)
00_08_23#3_10_10	(105)
00_08_23#3_7_7	(2620)
00_08_23#3_5_5	(289)
00_08_23#3_0_0	(1271)
00_08_23#4_9_9	(election)
00_08_23#4_5_5	(vote)
00_08_24#1_7_7	(236)
00_08_24#1_4_4	(578)
00_08_24#2_11_11	(election)
00_08_24#2_7_7	(250)
00_08_24#3_5_5	(236)
00_08_24#3_2_2	(6)
00_08_24#4_16_16	(vote)
00_08_24#4_7_7	(election)
00_08_24#5_11_11	(65)
00_08_24#6_19_19	(election)
00_08_24#6_11_12	(3160)
00_08_24#6_7_7	(4309)
00_08_24#6_6_6	(1218)
00_08_25#1_6_6	(election)
00_08_25#1_0_0	(927)
00_08_25#2_5_5	(1844)
00_08_25#2_0_0	(1271)
00_08_25#3_1_1	(1087)
00_08_25#5_17_17	(110)
00_08_25#6_17_17	(1844)
00_08_25#6_13_13	(election)
00_08_25#7_2_2	(289)
00_08_25#7_1_1	(vote)
00_08_25#8_82_82	(3541)
00_08_25#8_13_13	(3394)
00_08_25#9_2_2	(3684)
00_08_26#1_47_47	(2184)
00_08_26#1_29_29	(election)
00_08_26#2_8_8	(election)
00_08_26#3_25_25	(1796)
00_08_26#3_4_4	(election)
00_08_26#4_5_5	(2011)
00_08_26#5_15_15	(1747)
00_08_26#6_8_8	(election)
00_08_26#6_5_5	(vote)
00_08_26#6_1_1	(1146)
00_08_26#8_20_20	(105)
00_08_26#8_7_7	(election)
00_08_26#8_4_4	(244)
00_08_26#9_35_35	(2447)
00_08_26#10_26_26	(654)
00_08_26#10_18_18	(250)
00_08_26#10_17_17	(election)
00_08_26#10_15_15	(2233)
00_08_26#11_8_8	(election)
00_08_26#11_6_6	(244)
00_08_26#12_20_20	(2625)
00_08_26#12_16_16	(election)
00_08_26#12_12_12	(244)
00_08_26#12_2_2	(1606)
00_08_27#1_3_3	(3908)
00_08_27#3_12_12	(election)
00_08_27#4_7_7	(election)
00_08_27#5_27_27	(3395)
00_08_27#5_11_11	(3262)
00_08_27#5_8_8	(election)
00_08_27#6_9_9	(7)
00_08_27#6_6_6	(election)
00_08_27#7_29_29	(643)
00_08_27#7_24_24	(election)
00_08_27#7_12_12	(3268)
00_08_27#7_5_5	(vote)
00_08_27#8_19_19	(3714)
00_08_27#8_15_15	(vote)
00_08_27#8_7_7	(election)
00_08_27#9_24_24	(1790)
00_08_27#10_26_26	(2943)
00_08_27#10_12_12	(vote)
00_08_27#10_4_4	(vote)
00_08_27#11_4_4	(2122)
00_08_27#12_13_13	(1887)
00_08_27#12_1_1	(vote)
00_08_27#13_13_13	(261)
00_08_27#13_7_7	(3934)
00_08_27#14_28_28	(3268)
00_08_27#14_17_17	(vote)
00_08_27#14_6_6	(1846)
00_08_27#14_4_4	(2449)
00_08_27#14_2_2	(1604)
00_08_27#16_31_31	(vote)
00_08_27#16_19_19	(election)
00_08_28#1_8_8	(election)
00_08_28#1_6_6	(win)
00_08_28#2_23_23	(2824)
00_08_28#2_16_16	(1844)
00_08_28#2_11_11	(1271)
00_08_28#3_8_8	(election)
00_08_28#3_5_5	(win)
00_08_28#4_20_20	(1747)
00_08_28#4_12_12	(1844)
00_08_28#4_7_7	(1271)
00_08_28#6_6_6	(vote)
00_08_28#7_29_29	(653)
00_08_28#7_25_25	(1146)
00_08_29#1_23_23	(3939)
00_08_29#1_15_15	(vote)
00_08_29#1_13_13	(2098)
00_08_29#1_6_6	(3937)
00_08_29#2_4_4	(8)
00_08_29#3_8_8	(vote)
00_08_29#4_12_12	(2693)
00_08_29#4_8_8	(vote)
00_08_29#4_6_6	(2834)
00_08_29#5_19_19	(2315)
00_08_29#5_14_14	(3544)
00_08_29#5_8_8	(election)
00_08_29#5_5_5	(244)
00_08_29#5_3_3	(957)
00_08_29#6_19_19	(vote)
00_08_29#6_5_5	(2248)
00_08_29#7_6_6	(1920)
00_08_29#10_15_15	(vote)
00_08_3#1_28_28	(1844)
00_08_3#1_23_23	(1271)
00_08_3#1_22_22	(vote)
00_08_3#1_16_16	(election)
00_08_3#1_13_13	(win)
00_08_3#2_4_4	(election)
00_08_3#4_10_10	(election)
00_08_3#4_4_4	(236)
00_08_3#4_1_1	(1979)
00_08_3#5_36_36	(1559)
00_08_3#5_35_35	(1534)
00_08_3#5_31_31	(299)
00_08_3#5_25_25	(325)
00_08_3#5_21_21	(298)
00_08_3#5_18_18	(2010)
00_08_3#5_11_11	(2270)
00_08_30#1_17_17	(1368)
00_08_30#1_2_2	(1604)
00_08_30#2_2_2	(1368)
00_08_30#3_9_9	(vote)
00_08_30#3_4_4	(1604)
00_08_30#4_40_40	(2731)
00_08_30#4_34_34	(1368)
00_08_30#4_29_29	(1991)
00_08_30#4_26_26	(1459)
00_08_30#4_18_18	(vote)
00_08_30#4_3_3	(3371)
00_08_31#1_7_7	(1369)
00_08_31#2_4_4	(election)
00_08_31#3_12_12	(vote)
00_08_31#4_11_11	(3038)
00_08_31#4_2_2	(797)
00_08_31#5_8_8	(2945)
00_08_31#5_4_4	(vote)
00_08_31#6_7_7	(vote)
00_08_31#7_11_11	(3717)
00_08_31#7_5_5	(3270)
00_08_31#7_2_2	(1014)
00_08_31#8_3_3	(1644)
00_08_31#9_116_116	(3718)
00_08_31#9_109_109	(290)
00_08_31#9_102_102	(4312)
00_08_31#9_91_91	(3047)
00_08_31#9_88_88	(1621)
00_08_31#9_70_70	(4311)
00_08_31#9_68_68	(-1)
00_08_31#9_59_59	(election)
00_08_31#9_53_53	(244)
00_08_31#9_48_48	(720)
00_08_31#9_24_24	(1620)
00_08_31#9_9_9	(3941)
00_08_32#1_6_6	(election)
00_08_32#3_28_28	(1283)
00_08_32#3_9_9	(2307)
00_08_32#3_3_3	(766)
00_08_32#3_1_1	(1843)
00_08_32#4_2_2	(vote)
00_08_32#5_3_3	(election)
00_08_32#6_6_6	(vote)
00_08_32#6_5_5	(289)
00_08_32#6_2_2	(election)
00_08_32#7_17_17	(vote)
00_08_32#7_14_14	(228)
00_08_32#7_12_12	(election)
00_08_32#8_16_16	(2317)
00_08_32#8_13_13	(2440)
00_08_32#8_7_7	(election)
00_08_32#9_9_9	(2440)
00_08_33#2_30_30	(vote)
00_08_33#3_13_13	(1752)
00_08_33#4_8_8	(688)
00_08_34#1_13_13	(election)
00_08_34#1_2_2	(election)
00_08_34#2_12_12	(election)
00_08_34#2_5_5	(4313)
00_08_34#3_11_11	(vote)
00_08_34#3_6_6	(2017)
00_08_34#4_60_60	(2248)
00_08_34#4_26_26	(vote)
00_08_34#4_23_23	(931)
00_08_34#4_17_17	(vote)
00_08_34#4_13_13	(3399)
00_08_34#4_8_8	(1427)
00_08_34#5_17_17	(vote)
00_08_34#6_22_22	(vote)
00_08_34#6_7_7	(election)
00_08_34#6_1_1	(3945)
00_08_35#1_24_24	(776)
00_08_35#1_19_19	(vote)
00_08_35#2_7_7	(2951)
00_08_35#3_3_3	(election)
00_08_35#4_3_3	(vote)
00_08_35#4_1_1	(289)
00_08_35#5_15_15	(vote)
00_08_35#5_8_8	(election)
00_08_35#5_3_3	(3946)
00_08_35#6_48_48	(election)
00_08_35#6_35_35	(win)
00_08_35#6_25_25	(win)
00_08_35#6_20_20	(election)
00_08_35#6_12_12	(3160)
00_08_35#7_11_11	(election)
00_08_36#2_17_17	(1388)
00_08_36#2_16_16	(1283)
00_08_36#2_8_8	(vote)
00_08_36#3_26_26	(607)
00_08_36#3_7_7	(1719)
00_08_36#4_46_46	(1282)
00_08_36#4_38_38	(-1)
00_08_36#4_26_26	(1846)
00_08_36#4_8_8	(1733)
00_08_36#5_8_8	(3721)
00_08_36#6_20_20	(3721)
00_08_36#6_3_3	(1283)
00_08_36#7_15_15	(3950)
00_08_36#8_7_7	(4315)
00_08_36#8_5_5	(2845)
00_08_36#9_11_11	(886)
00_08_36#9_6_6	(3401)
00_08_36#10_3_3	(886)
00_08_36#11_23_23	(3403)
00_08_36#11_14_14	(2117)
00_08_36#12_6_6	(-1)
00_08_36#12_4_4	(1507)
00_08_36#14_10_10	(1719)
00_08_36#15_9_9	(1283)
00_08_37#1_9_9	(3722)
00_08_37#1_7_7	(2121)
00_08_37#1_4_4	(2848)
00_08_37#1_2_2	(1368)
00_08_37#2_18_18	(555)
00_08_37#2_8_8	(1869)
00_08_37#4_20_20	(election)
00_08_37#4_12_12	(2687)
00_08_37#4_8_8	(2250)
00_08_37#5_16_16	(1402)
00_08_37#5_4_4	(2848)
00_08_37#5_0_0	(1135)
00_08_37#6_27_27	(1652)
00_08_37#6_24_24	(2626)
00_08_37#6_14_14	(2096)
00_08_37#6_10_10	(3048)
00_08_37#7_15_15	(4282)
00_08_37#7_9_9	(1654)
00_08_37#8_16_16	(-1)
00_08_37#8_14_14	(-1)
00_08_37#8_5_5	(3052)
00_08_38#1_13_13	(election)
00_08_38#1_11_11	(2365)
00_08_38#1_5_5	(4284)
00_08_38#2_11_11	(977)
00_08_38#3_17_17	(election)
00_08_38#3_16_16	(2365)
00_08_38#3_11_11	(1312)
00_08_38#3_8_8	(2939)
00_08_38#4_26_26	(261)
00_08_38#4_22_22	(321)
00_08_38#4_15_15	(election)
00_08_38#4_8_8	(-1)
00_08_38#4_2_2	(1088)
00_08_38#5_37_37	(4317)
00_08_38#5_24_24	(261)
00_08_38#6_6_6	(-1)
00_08_38#7_3_3	(2684)
00_08_38#9_20_20	(716)
00_08_38#9_17_17	(vote)
00_08_38#10_11_11	(vote)
00_08_38#10_8_8	(1209)
00_08_38#10_5_5	(4296)
00_08_39#1_12_12	(1088)
00_08_39#1_2_2	(election)
00_08_39#2_12_12	(1088)
00_08_39#3_22_22	(-1)
00_08_39#3_2_2	(740)
00_08_39#4_4_4	(2541)
00_08_39#5_2_2	(2130)
00_08_39#6_21_21	(2849)
00_08_39#6_11_11	(3547)
00_08_39#7_47_47	(2264)
00_08_39#7_41_41	(261)
00_08_39#7_34_34	(1145)
00_08_39#8_19_19	(1870)
00_08_39#8_8_8	(2825)
00_08_39#9_22_22	(1444)
00_08_40#2_17_17	(1844)
00_08_40#2_12_12	(1271)
00_08_40#2_11_11	(election)
00_08_40#2_7_7	(vote)
00_08_40#2_2_2	(win)
00_08_40#3_18_18	(vote)
00_08_40#4_6_6	(2824)
00_08_41#1_25_25	(1844)
00_08_41#1_23_23	(vote)
00_08_41#1_18_18	(1747)
00_08_41#1_16_16	(election)
00_08_41#1_12_12	(win)
00_08_41#3_20_20	(2852)
00_08_41#4_4_4	(578)
00_08_41#5_2_2	(election)
00_08_41#7_27_27	(1088)
00_08_41#7_21_21	(1608)
00_08_41#8_6_6	(3265)
00_08_41#9_15_15	(election)
00_08_41#9_10_10	(4319)
00_08_41#10_19_19	(766)
00_08_41#10_2_2	(3938)
00_08_42#1_14_14	(105)
00_08_42#1_10_10	(vote)
00_08_42#1_5_5	(289)
00_08_42#2_54_54	(election)
00_08_42#2_44_44	(289)
00_08_42#2_38_38	(3054)
00_08_42#2_34_34	(921)
00_08_42#2_10_10	(2824)
00_08_42#3_10_10	(110)
00_08_42#3_2_2	(105)
00_08_42#4_18_18	(2824)
00_08_42#4_6_6	(921)
00_08_42#4_3_3	(3054)
00_08_42#5_5_5	(election)
00_08_42#6_9_9	(236)
00_08_42#6_2_2	(election)
00_08_42#6_0_0	(927)
00_08_42#7_27_27	(776)
00_08_42#7_16_16	(1369)
00_08_42#7_8_8	(3168)
00_08_42#7_5_5	(vote)
00_08_42#7_2_2	(4321)
00_08_42#8_36_36	(1747)
00_08_42#8_27_27	(election)
00_08_42#8_24_24	(win)
00_08_42#8_19_19	(election)
00_08_42#8_11_11	(4323)
00_08_42#9_14_14	(win)
00_08_42#9_2_2	(win)
00_08_42#11_5_5	(election)
00_08_42#11_1_1	(244)
00_08_42#12_15_15	(1368)
00_08_42#13_7_7	(4324)
00_08_42#14_8_8	(1132)
00_08_42#16_24_24	(375)
00_08_42#16_22_22	(2542)
00_08_42#16_13_13	(776)
00_08_42#16_8_8	(2216)
00_08_42#17_25_25	(war)
00_08_42#17_18_18	(964)
00_08_42#17_14_14	(261)
00_08_42#17_11_11	(9)
00_08_42#17_9_9	(776)
00_08_42#17_3_3	(2173)
00_08_42#18_27_27	(2638)
00_08_42#18_12_12	(3724)
00_08_42#18_3_3	(1604)
00_08_43#1_8_8	(election)
00_08_43#1_6_6	(win)
00_08_43#2_23_23	(2824)
00_08_43#2_16_16	(1844)
00_08_43#2_11_11	(1271)
00_08_43#3_8_8	(election)
00_08_43#3_5_5	(win)
00_08_43#4_20_20	(1747)
00_08_43#4_12_12	(1844)
00_08_43#4_7_7	(1271)
00_08_43#6_6_6	(vote)
00_08_43#7_29_29	(653)
00_08_43#7_25_25	(1146)
00_08_43#8_23_23	(3940)
00_08_43#8_15_15	(vote)
00_08_43#8_13_13	(2099)
00_08_43#8_6_6	(3938)
00_08_43#9_4_4	(10)
00_08_43#10_8_8	(vote)
00_08_43#11_12_12	(2693)
00_08_43#11_8_8	(vote)
00_08_43#11_6_6	(2835)
00_08_43#12_19_19	(2315)
00_08_43#12_14_14	(3544)
00_08_43#12_8_8	(election)
00_08_43#12_5_5	(244)
00_08_43#12_3_3	(957)
00_08_43#13_19_19	(vote)
00_08_43#13_5_5	(2248)
00_08_43#14_6_6	(1904)
00_08_43#17_15_15	(vote)
00_08_43#19_17_17	(1368)
00_08_43#19_2_2	(1604)
00_08_43#20_2_2	(1368)
00_08_43#21_9_9	(vote)
00_08_43#21_4_4	(1604)
00_08_43#22_40_40	(2740)
00_08_43#22_34_34	(1368)
00_08_43#22_29_29	(1991)
00_08_43#22_26_26	(1460)
00_08_43#22_18_18	(vote)
00_08_43#22_3_3	(3371)
00_08_44#1_8_8	(election)
00_08_44#1_3_3	(vote)
00_08_44#1_1_1	(289)
00_08_44#2_27_27	(1844)
00_08_44#2_5_5	(vote)
00_08_44#4_11_11	(605)
00_08_44#4_4_4	(610)
00_08_44#4_3_3	(vote)
00_08_44#5_23_23	(vote)
00_08_44#5_18_18	(1747)
00_08_44#5_13_13	(289)
00_08_44#5_10_10	(233)
00_08_44#6_9_9	(vote)
00_08_45#1_5_5	(election)
00_08_45#2_14_14	(1747)
00_08_45#2_11_11	(vote)
00_08_45#4_16_16	(1747)
00_08_45#4_6_6	(1844)
00_08_45#5_12_12	(922)
00_08_45#5_10_10	(vote)
00_08_45#6_18_18	(vote)
00_08_45#6_13_13	(1747)
00_08_45#6_5_5	(1844)
00_08_45#7_1_1	(110)
00_08_45#8_16_16	(1844)
00_08_45#8_12_12	(election)
00_08_45#11_8_8	(106)
00_08_45#11_1_1	(1844)
00_08_45#12_10_10	(2824)
00_08_45#12_4_4	(1844)
00_08_45#14_6_6	(win)
00_08_45#14_3_3	(election)
00_08_45#15_19_19	(vote)
00_08_45#17_3_3	(vote)
00_08_45#18_19_19	(vote)
00_08_46#1_5_5	(236)
00_08_46#1_2_2	(578)
00_08_46#2_29_29	(822)
00_08_46#3_10_10	(236)
00_08_46#3_6_6	(578)
00_08_46#4_18_18	(election)
00_08_46#5_24_24	(2205)
00_08_46#6_9_9	(3728)
00_08_46#6_6_6	(62)
00_08_46#8_19_19	(250)
00_08_46#8_12_12	(2439)
00_08_46#8_7_7	(election)
00_08_46#8_5_5	(261)
00_08_46#9_12_12	(261)
00_08_46#9_1_1	(election)
00_08_46#10_21_21	(election)
00_08_46#10_17_17	(3160)
00_08_47#1_17_17	(election)
00_08_47#1_8_8	(612)
00_08_47#1_2_2	(3032)
00_08_47#2_13_13	(2311)
00_08_47#2_7_7	(election)
00_08_47#3_9_9	(1221)
00_08_47#4_7_7	(election)
00_08_47#4_5_5	(3952)
00_08_47#5_18_18	(653)
00_08_47#5_12_12	(1146)
00_08_47#5_2_2	(2957)
00_08_47#6_26_26	(1438)
00_08_47#6_13_13	(2221)
00_08_47#6_10_10	(932)
00_08_47#8_16_16	(776)
00_08_47#8_2_2	(3168)
00_08_47#9_11_11	(1604)
00_08_47#9_8_8	(2512)
00_08_47#9_6_6	(613)
00_08_47#10_21_21	(1604)
00_08_47#10_16_16	(868)
00_08_47#10_10_10	(3150)
00_08_47#10_5_5	(106)
00_08_48#1_3_3	(vote)
00_08_48#2_25_25	(3055)
00_08_48#2_20_20	(vote)
00_08_48#2_12_12	(1752)
00_08_48#3_3_3	(610)
00_08_48#5_18_18	(vote)
00_08_48#5_8_8	(1749)
00_08_48#7_17_17	(vote)
00_08_48#9_11_11	(vote)
00_08_49#1_19_19	(398)
00_08_49#1_15_15	(vote)
00_08_49#1_9_9	(election)
00_08_49#1_6_6	(-1)
00_08_49#2_3_3	(-1)
00_08_49#3_7_7	(election)
00_08_49#4_20_20	(2687)
00_08_49#4_17_17	(-1)
00_08_49#4_15_15	(261)
00_08_49#4_5_5	(1128)
00_08_49#5_5_5	(2285)
